used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
161880,175024,26,0.748231,192
161632,175024,27,0.756598,168
165648,179088,27,0.756598,168
168736,182224,27,0.756598,168
167200,182224,27,0.796069,168
164112,182224,28,0.759801,168
166096,182224,27,0.715758,176
165504,182224,27,0.731572,176
169504,186272,27,0.731572,176
168344,186272,27,0.757080,176
171376,186272,27,0.834718,176
167464,186272,27,0.704532,176
166144,186272,27,0.731551,176
163112,186272,27,0.777384,176
160408,186272,28,0.806402,176
159928,186272,28,0.811207,176
159456,186272,27,0.792308,176
160128,186272,27,0.785227,176
163680,186272,27,0.741096,176
160096,186272,27,0.785552,176
156008,186272,28,0.820285,176
152360,186272,29,0.842980,176
149152,186272,30,0.858674,176
149296,186272,29,0.857859,216
146984,186272,29,0.867647,216
142968,186272,29,0.813439,216
144280,186272,28,0.806577,264
144608,186272,27,0.804803,272
147040,186272,27,0.790632,272
149408,186272,27,0.774698,272
149344,186272,27,0.775490,272
151768,186272,27,0.756602,272
151968,186272,26,0.754733,296
150232,186272,25,0.769231,296
151888,186272,25,0.755804,296
154488,186272,25,0.731532,296
157640,186272,25,0.694881,296
159024,186272,25,0.675027,296
159872,186272,25,0.661235,296
162368,186272,25,0.614821,296
162592,186272,24,0.609095,344
162792,186272,24,0.603723,344
164352,186272,24,0.564964,344
165616,186272,24,0.527234,344
169448,186272,24,0.709104,344
169744,186272,24,0.699927,344
171488,186272,24,0.640913,344
168920,186272,25,0.719863,344
170504,186272,25,0.674363,344
172288,186272,25,0.824732,344
171680,186272,25,0.837692,344
171736,186272,24,0.836364,360
173720,188304,24,0.836364,360
171280,188304,24,0.772502,360
174392,191464,24,0.772502,360
178232,195352,24,0.772502,360
174768,195352,24,0.712973,360
178328,195352,24,0.770550,360
180512,195352,24,0.839286,360
178640,195352,25,0.827179,360
178792,195352,24,0.824588,368
177688,195352,25,0.841033,368
174128,195352,25,0.723869,368
170288,195352,26,0.779026,368
173528,195352,26,0.733434,368
176888,195352,26,0.850575,368
175200,195352,27,0.868317,368
175376,195352,26,0.866515,384
176808,195352,25,0.851240,392
177656,195352,24,0.840491,392
174200,195352,24,0.769029,392
173352,195352,24,0.781854,392
171768,195352,24,0.801891,392
172688,195352,24,0.790476,392
171840,195352,25,0.800544,392
167960,195352,24,0.566149,368
170552,195352,24,0.644781,368
172552,195352,24,0.601887,368
174184,195352,24,0.558115,368
175296,195352,23,0.523433,368
176808,195352,23,0.588198,368
179992,195352,23,0.790956,368
181496,195352,23,0.840491,368
185368,199272,23,0.840491,368
187432,201384,23,0.840491,368
191328,205328,23,0.840491,368
187816,205328,23,0.678145,368
191096,205328,23,0.845084,368
194344,208624,23,0.845084,368
194168,208624,24,0.848691,352
190088,208624,25,0.669046,352
191776,208624,25,0.778701,352
191984,208624,24,0.773745,376
191760,208624,25,0.779533,328
191560,208624,25,0.784559,328
192728,208624,25,0.757450,328
194480,208624,25,0.859613,328
195712,209904,25,0.859613,328
192640,209904,26,0.719093,328
188744,209904,26,0.731720,328
187272,209904,26,0.756585,328
188432,209904,26,0.737230,328
191472,209904,25,0.670627,360
188568,209904,26,0.734292,360
185424,209904,27,0.780273,360
188096,209904,27,0.741585,360
186248,209904,27,0.769834,360
187216,209904,27,0.755512,360
183736,209904,28,0.798465,360
183032,209904,29,0.805382,360
183752,209904,29,0.797812,360
183832,209904,28,0.796989,360
184920,209904,28,0.784542,360
182720,209904,29,0.807410,360
184440,209904,29,0.789451,360
184984,209904,28,0.783232,360
185576,209904,28,0.775428,360
187760,209904,28,0.743181,360
186088,209904,29,0.768123,360
184824,209904,30,0.783983,360
184352,209904,30,0.789895,360
186664,209904,30,0.760096,360
188736,209904,30,0.871074,360
