used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
287512,331416,44,0.899635,192
291440,335392,44,0.899635,192
288000,335392,45,0.908600,192
291080,335392,45,0.900520,192
293176,335392,45,0.894103,192
290112,335392,46,0.903041,192
290456,335392,45,0.902092,200
288192,335392,45,0.908008,200
289824,335392,45,0.903783,200
286016,335392,46,0.905724,200
285208,335392,47,0.907573,200
287104,335392,47,0.902996,200
285472,335392,47,0.906977,200
287824,335392,47,0.901183,200
287088,335392,47,0.903154,200
283456,335392,47,0.832558,200
286384,335392,47,0.894463,200
283032,335392,48,0.902619,200
286512,335392,48,0.904437,200
288992,335392,48,0.897964,200
285664,335392,49,0.906318,200
287736,335392,48,0.901265,208
290456,335392,48,0.893631,208
288144,335392,48,0.900210,208
290104,335392,48,0.894667,208
287448,335392,48,0.901997,208
283728,335392,48,0.898461,208
282552,335392,48,0.901295,208
284784,335392,48,0.895881,208
285856,335392,48,0.892998,208
286368,335392,48,0.891496,208
288696,335392,48,0.898486,208
286056,335392,48,0.905274,208
286712,335392,48,0.903585,208
289776,335392,48,0.895339,208
286224,335392,49,0.904647,208
289008,335392,49,0.897370,208
286960,335392,50,0.902738,208
287552,335392,50,0.901122,208
291112,335392,50,0.912216,208
294728,339056,50,0.912216,208
297456,339056,50,0.936255,208
298712,339056,50,0.936673,208
295992,339056,50,0.900929,208
299560,342672,50,0.900929,208
297488,342672,51,0.906706,200
298520,342672,51,0.903793,200
295736,342672,52,0.910959,200
298272,342672,52,0.919982,200
294792,342672,52,0.889770,200
295408,342672,52,0.887827,200
292224,342672,52,0.896693,200
294584,342672,52,0.890229,200
297824,342672,52,0.920891,200
300224,342672,52,0.940386,200
302864,345360,52,0.940386,200
300920,345360,52,0.921234,200
300408,345360,52,0.922484,200
303632,348632,52,0.922484,200
301712,348632,53,0.926483,200
299080,348632,53,0.913575,200
295152,348632,53,0.902808,200
296592,348632,53,0.899396,200
299624,348632,53,0.891512,200
301776,348632,53,0.944373,200
303992,350896,53,0.944373,200
305256,350896,53,0.942333,200
306032,350896,53,0.940975,200
306600,350896,53,0.939916,200
310456,354800,53,0.939916,200
313440,357832,53,0.939916,200
314752,357832,53,0.937439,200
311328,357832,53,0.882185,200
307704,357832,53,0.882798,200
304672,357832,53,0.891151,200
305456,357832,53,0.889015,200
307688,357832,53,0.882705,200
304752,357832,54,0.890706,200
300672,357832,55,0.900170,200
302640,357832,55,0.895708,200
304744,357832,55,0.890482,200
305744,357832,55,0.887743,200
307256,357832,55,0.883403,200
310392,357832,55,0.890205,200
308552,357832,55,0.895513,200
308728,357832,54,0.894997,216
304664,357832,54,0.868181,216
307288,357832,54,0.898749,216
308912,357832,54,0.894366,216
311960,357832,54,0.923666,216
314872,360792,54,0.923666,216
311248,360792,54,0.877143,216
307232,360792,55,0.888560,216
311232,360792,55,0.897467,216
313440,360792,55,0.891201,216
316888,360792,55,0.938233,216
318504,360792,54,0.935013,256
317888,360792,54,0.936343,256
318920,360792,53,0.934167,296
321048,362968,53,0.934167,296
317968,362968,53,0.900232,296
320616,362968,53,0.935062,296
322992,365392,53,0.935062,296
326360,368808,53,0.935062,296
323120,368808,53,0.872947,296
323608,368808,53,0.870975,296
321552,368808,53,0.878384,296
320520,368808,54,0.881841,256
317536,368808,54,0.890634,256
315936,368808,54,0.894886,256
312576,368808,55,0.902605,256
315200,368808,55,0.913463,256
318960,372616,55,0.913463,256
321128,372616,55,0.917776,256
317528,372616,55,0.885873,256
313960,372616,56,0.894343,256
310400,372616,55,0.888356,256
310560,372616,55,0.887906,256
310816,372616,55,0.887240,256
309576,372616,55,0.890006,256
307616,372616,55,0.894057,256
311384,372616,55,0.886084,256
315312,372616,55,0.923643,256
313360,372616,55,0.926777,256
316472,372616,55,0.926264,256
319560,372616,54,0.920889,264
322128,372616,54,0.937575,264
318272,372616,55,0.911786,264
318888,372616,55,0.910426,264
320040,372616,55,0.907857,264
318144,372616,55,0.911947,264
317488,372616,56,0.913247,264
318584,372616,56,0.910955,264
315856,372616,56,0.916319,264
313704,372616,55,0.842576,264
313728,372616,54,0.842445,280
315104,372616,53,0.837741,304
312672,372616,54,0.845742,304
316560,372616,54,0.915036,304
315776,372616,54,0.916566,304
312168,372616,54,0.890600,304
314088,372616,54,0.886106,304
315568,372616,54,0.882353,304
316552,372616,54,0.879675,304
317080,372616,54,0.878127,304
321008,372616,54,0.905472,304
319744,372616,54,0.908417,304
323488,372616,54,0.904155,304
322504,372616,54,0.906669,304
323568,372616,54,0.903955,304
324176,372616,54,0.902278,304
322448,372616,55,0.906574,304
319384,372616,55,0.913429,304
316136,372616,55,0.914596,304
316176,372616,55,0.914431,304
313088,372616,56,0.919869,296
311936,372616,56,0.921795,296
310632,372616,56,0.923857,296
311888,372616,56,0.921870,296
311296,372616,55,0.922931,296
312056,372616,55,0.921682,296
311600,372616,56,0.922392,296
311864,372616,56,0.921908,296
308624,372616,56,0.920721,296
309472,372616,56,0.919365,296
310496,372616,56,0.917680,296
310432,372616,57,0.917783,296
311552,372616,57,0.915870,296
