used_memory,heap_memory,free_blocks,external_fragmentation,internal_fragmentation
183608,225824,43,0.890068,152
180496,225824,42,0.899193,152
182552,225824,42,0.893389,152
186000,225824,42,0.909465,152
185408,225824,42,0.911185,152
181616,225824,42,0.891281,152
184000,225824,42,0.883747,152
187240,225824,42,0.905936,152
188712,225824,42,0.901215,152
192336,229496,42,0.901215,152
190320,229496,42,0.907517,152
190264,229496,42,0.907814,152
188296,229496,42,0.911580,152
191240,229496,41,0.903177,200
189464,229496,41,0.904876,200
189912,229496,41,0.903438,200
189704,229496,42,0.904163,160
190704,229496,42,0.901025,160
191608,229496,42,0.897991,160
190808,229496,43,0.900552,160
190648,229496,43,0.901198,160
187288,229496,44,0.905149,160
185104,229496,45,0.910657,160
185120,229496,44,0.910619,160
188984,233408,44,0.910619,160
186792,233408,44,0.915646,160
187248,233408,44,0.914565,160
189512,233408,43,0.909248,200
189968,233408,43,0.907996,200
187440,233408,43,0.914128,168
186984,233408,43,0.915220,168
189032,233408,43,0.910486,168
189408,233408,43,0.909463,168
191352,233408,43,0.904328,168
188408,233408,44,0.911839,120
188256,233408,44,0.912336,104
184872,233408,43,0.897053,104
186256,233408,43,0.893402,104
187160,233408,43,0.890828,104
187544,233408,43,0.889618,104
187528,233408,43,0.889799,104
183840,233408,42,0.848553,104
183000,233408,42,0.851628,104
185200,233408,42,0.843587,104
188080,233408,42,0.831708,104
189800,233408,42,0.823619,104
191576,233408,42,0.814416,104
194512,233408,42,0.890418,104
190648,233408,43,0.892188,104
192184,233408,43,0.887202,104
190384,233408,42,0.893118,104
186360,233408,42,0.892601,104
188024,233408,42,0.899668,104
192016,237448,42,0.899668,104
195936,241416,42,0.899668,104
195792,241416,42,0.900165,104
197056,241416,42,0.896662,104
199664,241416,42,0.888761,104
201520,241416,42,0.893275,104
201952,241416,42,0.891691,104
205040,241416,42,0.910734,104
208936,245360,42,0.910734,104
212968,249440,42,0.910734,104
210672,249440,42,0.914068,104
207392,249440,41,0.873139,104
207016,249440,41,0.874661,104
206568,249440,40,0.876560,104
205480,249440,41,0.880190,104
209032,249440,41,0.904408,104
206968,249440,42,0.909973,104
207072,249440,42,0.909585,104
209360,249440,42,0.903179,104
210536,249440,42,0.899446,104
213192,249440,42,0.906612,104
213432,249440,42,0.905676,104
216648,252704,42,0.905676,104
213448,252704,43,0.899850,104
212944,252704,43,0.901551,104
214024,252704,43,0.898011,104
216472,252704,43,0.906094,104
220536,256816,43,0.906094,104
222816,256816,43,0.926183,104
225600,259648,43,0.926183,104
225272,259648,42,0.927343,104
226368,259648,42,0.924125,104
224984,259648,43,0.927984,104
227624,262336,43,0.927984,104
227936,262336,42,0.927083,128
229744,262336,42,0.923913,128
231448,262336,42,0.940529,128
234904,265840,42,0.940529,128
234592,265840,43,0.941376,104
236904,268200,43,0.941376,104
240424,271768,43,0.941376,104
238216,271768,43,0.912156,104
239024,271768,43,0.909149,104
235032,271768,43,0.857340,104
236064,271768,43,0.851831,104
234552,271768,43,0.859659,104
238272,271768,43,0.911801,104
241904,275448,43,0.911801,104
241752,275448,43,0.912481,104
237856,275448,44,0.869507,104
237560,275448,45,0.870822,96
238864,275448,45,0.911691,96
